Credit_amount,Age,Housing,Existing_credits,Job,Own_telephone,Foreign_worker,Class
9566.0,31.0,own,2,skilled,none,yes,1
1961.0,23.0,own,1,high qualif/self emp/mgmt,none,yes,1
6229.0,23.0,rent,2,unskilled resident,yes,yes,0
1391.0,27.0,own,1,skilled,yes,yes,1
1537.0,50.0,own,2,skilled,yes,yes,1
1953.0,61.0,for free,1,high qualif/self emp/mgmt,yes,yes,0
14421.0,25.0,own,1,skilled,yes,yes,0
3181.0,26.0,own,1,skilled,yes,yes,1
5190.0,48.0,own,4,skilled,yes,yes,1
2171.0,29.0,own,1,skilled,none,yes,1
1007.0,22.0,own,1,skilled,none,yes,1
1819.0,37.0,for free,1,skilled,yes,yes,0
2394.0,25.0,own,1,skilled,none,yes,1
8133.0,30.0,own,1,skilled,none,yes,1
730.0,46.0,rent,2,unskilled resident,yes,yes,1
1164.0,51.0,for free,2,high qualif/self emp/mgmt,yes,yes,1
5954.0,41.0,own,2,unskilled resident,none,yes,1
1977.0,40.0,own,1,high qualif/self emp/mgmt,yes,yes,0
1526.0,66.0,for free,2,high qualif/self emp/mgmt,none,yes,1
3965.0,34.0,own,1,skilled,none,yes,0
4771.0,51.0,own,1,skilled,none,yes,1
9436.0,39.0,own,1,unskilled resident,none,yes,1
3832.0,22.0,own,1,skilled,none,yes,1
5943.0,44.0,own,2,skilled,yes,yes,0
1213.0,47.0,own,1,skilled,yes,yes,1
1568.0,24.0,rent,1,unskilled resident,none,yes,1
1755.0,58.0,own,1,unskilled resident,yes,yes,1
2315.0,52.0,own,1,unskilled resident,none,yes,1
1412.0,29.0,own,2,high qualif/self emp/mgmt,yes,yes,1
1295.0,27.0,own,2,skilled,none,yes,1
12612.0,47.0,for free,1,skilled,yes,yes,0
2249.0,30.0,own,1,high qualif/self emp/mgmt,yes,yes,1
1108.0,28.0,own,2,skilled,none,yes,0
618.0,56.0,own,1,skilled,none,yes,1
1409.0,54.0,own,1,skilled,none,yes,1
797.0,33.0,own,1,unskilled resident,none,yes,0
3617.0,20.0,rent,2,skilled,none,yes,1
1318.0,54.0,own,1,skilled,yes,yes,1
15945.0,58.0,rent,1,skilled,yes,yes,0
2012.0,61.0,own,1,skilled,none,yes,1
2622.0,34.0,own,1,skilled,none,yes,1
2337.0,36.0,own,1,skilled,none,yes,1
7057.0,36.0,rent,2,high qualif/self emp/mgmt,yes,yes,1
1469.0,41.0,rent,1,unskilled resident,none,yes,1
2323.0,24.0,rent,1,skilled,none,yes,1
932.0,24.0,own,1,skilled,none,yes,1
1919.0,35.0,rent,1,skilled,yes,yes,1
2445.0,26.0,rent,1,skilled,yes,yes,1
11938.0,39.0,own,2,high qualif/self emp/mgmt,yes,yes,0
6458.0,39.0,own,2,high qualif/self emp/mgmt,yes,yes,0
6078.0,32.0,own,1,skilled,none,yes,1
7721.0,30.0,own,1,skilled,yes,no,1
1410.0,35.0,own,1,skilled,yes,yes,1
1449.0,31.0,own,2,skilled,none,yes,1
392.0,23.0,rent,1,skilled,yes,yes,1
6260.0,28.0,rent,1,unskilled resident,none,yes,1
7855.0,25.0,own,2,skilled,yes,yes,0
1680.0,35.0,own,1,skilled,none,yes,1
3578.0,47.0,own,1,skilled,yes,yes,1
7174.0,30.0,own,1,high qualif/self emp/mgmt,yes,yes,0
2132.0,27.0,rent,2,skilled,none,no,1
4281.0,23.0,own,2,skilled,none,yes,0
2366.0,36.0,own,1,high qualif/self emp/mgmt,yes,yes,1
1835.0,25.0,own,2,skilled,yes,yes,0
3868.0,41.0,rent,2,high qualif/self emp/mgmt,yes,yes,1
1768.0,24.0,rent,1,unskilled resident,none,yes,1
781.0,63.0,for free,2,skilled,yes,yes,1
1924.0,27.0,rent,1,skilled,none,yes,0
2121.0,30.0,own,2,skilled,none,yes,1
701.0,40.0,own,1,unskilled resident,none,yes,1
639.0,30.0,own,1,skilled,none,yes,0
1860.0,34.0,own,2,high qualif/self emp/mgmt,yes,yes,1
3499.0,29.0,own,2,skilled,none,yes,0
8487.0,24.0,own,1,skilled,none,yes,1
6887.0,29.0,own,1,skilled,yes,yes,0
2708.0,27.0,own,2,unskilled resident,none,yes,1
1984.0,47.0,for free,2,skilled,none,yes,1
10144.0,21.0,own,1,skilled,yes,yes,1
1240.0,38.0,own,2,skilled,yes,yes,1
8613.0,27.0,own,2,skilled,none,yes,1
766.0,66.0,own,1,unskilled resident,none,yes,0
2728.0,35.0,own,3,skilled,yes,yes,1
1881.0,44.0,rent,1,unskilled resident,yes,yes,1
709.0,27.0,own,1,unemp/unskilled non res,none,no,1
4795.0,30.0,own,1,high qualif/self emp/mgmt,yes,yes,1
3416.0,27.0,own,1,high qualif/self emp/mgmt,none,yes,1
2462.0,22.0,own,1,skilled,none,yes,0
2288.0,23.0,own,1,skilled,yes,yes,1
3566.0,30.0,own,1,skilled,none,yes,1
860.0,39.0,own,2,skilled,yes,yes,1
682.0,51.0,own,2,skilled,yes,yes,1
5371.0,28.0,own,2,skilled,none,yes,1
1582.0,46.0,own,2,skilled,none,yes,1
1346.0,42.0,for free,1,skilled,yes,yes,1
1924.0,38.0,own,1,skilled,yes,no,1
5848.0,24.0,own,1,skilled,none,yes,1
7758.0,29.0,rent,1,skilled,none,yes,1
6967.0,36.0,rent,1,high qualif/self emp/mgmt,yes,yes,1
1282.0,20.0,rent,1,skilled,none,yes,0
1288.0,48.0,own,2,skilled,none,no,1
339.0,45.0,own,1,unskilled resident,none,yes,1
3512.0,38.0,own,2,skilled,yes,yes,1
1898.0,34.0,own,2,unskilled resident,none,yes,1
2872.0,36.0,own,1,skilled,yes,yes,1
1055.0,30.0,own,2,skilled,none,yes,1
1262.0,36.0,own,2,skilled,yes,yes,1
7308.0,70.0,for free,1,high qualif/self emp/mgmt,yes,yes,1
909.0,36.0,own,1,skilled,none,yes,1
2978.0,32.0,own,1,skilled,yes,yes,1
1131.0,33.0,own,1,skilled,none,yes,0
1577.0,20.0,own,1,skilled,none,yes,1
3972.0,25.0,rent,1,skilled,yes,yes,1
1935.0,31.0,own,2,skilled,yes,yes,0
950.0,33.0,rent,2,skilled,none,yes,0
763.0,26.0,own,1,skilled,yes,yes,1
2064.0,34.0,own,1,high qualif/self emp/mgmt,yes,yes,0
1414.0,33.0,own,1,skilled,none,no,1
3414.0,26.0,own,2,skilled,none,yes,0
7485.0,53.0,own,1,high qualif/self emp/mgmt,yes,yes,0
2577.0,42.0,own,1,skilled,none,yes,1
338.0,52.0,own,2,skilled,none,yes,1
1963.0,31.0,rent,2,high qualif/self emp/mgmt,yes,yes,1
571.0,65.0,own,2,skilled,none,yes,1
9572.0,28.0,own,2,skilled,none,yes,0
4455.0,30.0,own,2,high qualif/self emp/mgmt,yes,yes,0
1647.0,40.0,own,2,unskilled resident,none,yes,0
3777.0,50.0,own,1,skilled,yes,yes,1
884.0,36.0,own,1,skilled,yes,yes,0
1360.0,31.0,own,2,skilled,none,yes,1
5129.0,74.0,for free,1,high qualif/self emp/mgmt,yes,yes,0
1175.0,68.0,for free,3,unemp/unskilled non res,yes,yes,1
674.0,20.0,own,1,skilled,none,yes,0
3244.0,33.0,own,2,skilled,yes,yes,1
4591.0,54.0,own,3,high qualif/self emp/mgmt,yes,yes,0
3844.0,34.0,for free,1,unskilled resident,none,yes,0
3915.0,36.0,own,1,skilled,yes,yes,0
2108.0,29.0,rent,1,skilled,none,yes,1
3031.0,21.0,rent,1,skilled,none,yes,0
1501.0,34.0,own,2,high qualif/self emp/mgmt,yes,yes,0
1382.0,28.0,own,2,skilled,yes,yes,1
951.0,27.0,rent,4,skilled,none,yes,0
2760.0,36.0,for free,1,skilled,yes,yes,1
4297.0,40.0,own,1,high qualif/self emp/mgmt,yes,yes,0
936.0,52.0,own,2,skilled,yes,yes,1
1168.0,27.0,own,1,unskilled resident,none,yes,1
5117.0,26.0,own,2,skilled,none,yes,1
902.0,21.0,rent,1,skilled,none,yes,0
1495.0,38.0,own,2,unskilled resident,none,yes,1
10623.0,38.0,for free,3,high qualif/self emp/mgmt,yes,yes,1
1935.0,43.0,own,3,skilled,yes,yes,1
1424.0,26.0,own,1,skilled,none,yes,1
6568.0,21.0,own,1,unskilled resident,none,yes,1
1413.0,55.0,own,1,skilled,none,no,1
3074.0,33.0,own,2,skilled,none,yes,1
3835.0,45.0,own,1,unskilled resident,yes,yes,1
5293.0,50.0,own,2,skilled,yes,yes,0
1908.0,66.0,own,1,high qualif/self emp/mgmt,yes,yes,0
3342.0,51.0,own,1,skilled,yes,yes,1
932.0,39.0,own,2,unskilled resident,none,yes,1
3104.0,31.0,own,1,skilled,yes,yes,1
3913.0,23.0,own,1,skilled,yes,yes,1
3021.0,24.0,rent,1,unskilled resident,none,yes,1
1364.0,64.0,own,1,skilled,yes,yes,1
625.0,26.0,own,1,unskilled resident,none,yes,1
1200.0,23.0,rent,1,skilled,yes,yes,1
707.0,30.0,own,2,skilled,none,yes,1
2978.0,32.0,own,2,skilled,yes,yes,1
4657.0,30.0,own,1,skilled,yes,yes,1
2613.0,27.0,own,2,skilled,none,yes,1
10961.0,27.0,own,2,skilled,yes,yes,0
7865.0,53.0,for free,1,high qualif/self emp/mgmt,yes,yes,0
1478.0,22.0,own,1,skilled,none,yes,0
3149.0,22.0,for free,1,skilled,none,yes,1
4210.0,26.0,own,1,skilled,none,yes,0
2507.0,51.0,for free,1,unskilled resident,none,yes,1
2141.0,35.0,own,1,skilled,none,yes,1
866.0,25.0,own,1,unskilled resident,none,yes,1
1544.0,42.0,own,3,unskilled resident,none,yes,1
1823.0,30.0,own,1,high qualif/self emp/mgmt,none,yes,0
14555.0,23.0,own,1,unemp/unskilled non res,yes,yes,0
2767.0,61.0,rent,2,unskilled resident,none,yes,0
1291.0,35.0,own,2,skilled,none,yes,1
2522.0,39.0,own,1,skilled,none,yes,1
915.0,29.0,own,1,skilled,none,yes,0
1595.0,51.0,own,1,skilled,none,yes,1
4605.0,24.0,for free,2,skilled,none,yes,0
1185.0,27.0,own,2,skilled,none,yes,1
3447.0,35.0,own,1,unskilled resident,none,yes,1
1258.0,25.0,own,1,skilled,yes,yes,1
717.0,52.0,own,3,skilled,none,yes,1
1204.0,35.0,rent,1,skilled,none,no,1
1925.0,26.0,own,1,skilled,none,yes,1
433.0,22.0,rent,1,skilled,none,yes,0
666.0,39.0,own,2,unskilled resident,yes,yes,1
2251.0,46.0,own,1,unskilled resident,none,yes,1
2150.0,24.0,own,1,skilled,none,yes,0
4151.0,35.0,own,2,skilled,none,yes,1
2030.0,24.0,own,1,skilled,yes,yes,1
7418.0,27.0,own,1,unskilled resident,none,yes,1
2684.0,35.0,own,2,unskilled resident,none,yes,1
2149.0,29.0,for free,1,skilled,none,yes,0
3812.0,23.0,own,1,skilled,yes,yes,1
1154.0,57.0,own,3,unskilled resident,none,yes,1
1657.0,27.0,own,1,skilled,none,yes,1
1603.0,55.0,own,1,skilled,none,yes,1
5302.0,36.0,for free,3,high qualif/self emp/mgmt,yes,yes,1
2748.0,57.0,for free,3,unskilled resident,none,yes,1
1231.0,32.0,own,2,unskilled resident,none,no,1
802.0,37.0,own,1,skilled,none,yes,0
6304.0,36.0,own,2,skilled,none,yes,1
1533.0,38.0,own,1,skilled,yes,yes,1
8978.0,45.0,own,1,high qualif/self emp/mgmt,yes,no,0
999.0,25.0,own,2,skilled,none,yes,1
2662.0,32.0,own,1,skilled,none,no,1
1402.0,37.0,rent,1,skilled,yes,yes,1
12169.0,36.0,for free,1,high qualif/self emp/mgmt,yes,yes,1
3060.0,28.0,own,2,skilled,none,yes,0
11998.0,34.0,own,1,unskilled resident,yes,yes,0
2697.0,32.0,own,1,skilled,none,yes,1
2404.0,26.0,own,2,skilled,none,yes,1
1262.0,49.0,own,1,unskilled resident,yes,yes,1
4611.0,32.0,own,1,skilled,none,yes,0
1901.0,29.0,rent,1,high qualif/self emp/mgmt,yes,yes,1
3368.0,23.0,rent,2,skilled,yes,yes,1
1574.0,50.0,own,1,skilled,none,yes,1
1445.0,49.0,own,1,unskilled resident,none,yes,1
1520.0,63.0,own,1,skilled,none,yes,1
3878.0,37.0,own,1,skilled,yes,yes,1
10722.0,35.0,own,1,unskilled resident,yes,yes,1
4788.0,26.0,own,1,skilled,none,yes,1
7582.0,31.0,for free,1,high qualif/self emp/mgmt,yes,yes,1
1092.0,49.0,own,2,skilled,yes,yes,1
1024.0,48.0,own,1,skilled,none,yes,0
1076.0,26.0,own,1,skilled,yes,no,1
9398.0,28.0,rent,1,high qualif/self emp/mgmt,yes,yes,0
6419.0,44.0,for free,2,high qualif/self emp/mgmt,yes,yes,1
4796.0,56.0,for free,1,skilled,none,yes,1
7629.0,46.0,own,2,high qualif/self emp/mgmt,none,yes,1
9960.0,26.0,own,1,skilled,yes,yes,0
4675.0,20.0,rent,1,skilled,none,yes,1
1287.0,45.0,own,1,unskilled resident,none,no,1
2515.0,43.0,own,1,skilled,yes,yes,1
2745.0,32.0,own,2,skilled,yes,yes,1
672.0,54.0,own,1,unemp/unskilled non res,yes,yes,1
3804.0,42.0,own,1,skilled,yes,yes,0
1344.0,37.0,own,2,unskilled resident,none,yes,0
1038.0,49.0,own,2,skilled,yes,yes,1
10127.0,44.0,for free,1,skilled,none,yes,0
1543.0,33.0,own,1,skilled,none,yes,1
4811.0,24.0,rent,1,unskilled resident,none,yes,1
727.0,33.0,own,1,unskilled resident,yes,yes,0
1237.0,24.0,own,1,skilled,none,yes,0
276.0,22.0,rent,1,unskilled resident,none,yes,1
5381.0,40.0,for free,1,unemp/unskilled non res,yes,yes,1
5511.0,25.0,own,1,skilled,none,yes,1
3749.0,26.0,own,1,skilled,none,yes,1
685.0,25.0,own,1,unskilled resident,none,yes,0
1494.0,29.0,own,1,unskilled resident,none,no,1
2746.0,31.0,own,1,skilled,none,yes,0
708.0,38.0,own,1,unskilled resident,none,yes,1
4351.0,48.0,own,1,unskilled resident,yes,yes,1
701.0,32.0,own,2,skilled,none,yes,1
3643.0,27.0,own,2,unskilled resident,none,yes,1
4249.0,28.0,own,2,high qualif/self emp/mgmt,none,yes,0
1938.0,32.0,own,1,skilled,none,yes,0
2910.0,34.0,for free,1,high qualif/self emp/mgmt,yes,yes,1
2659.0,28.0,own,1,skilled,none,yes,1
1028.0,36.0,own,2,skilled,none,yes,1
3398.0,39.0,own,2,unskilled resident,none,no,1
5801.0,49.0,rent,1,skilled,yes,yes,1
1525.0,34.0,own,1,skilled,yes,yes,1
4473.0,31.0,own,1,skilled,none,yes,1
1068.0,28.0,own,1,skilled,none,yes,1
6615.0,75.0,for free,2,high qualif/self emp/mgmt,yes,yes,1
1864.0,30.0,own,2,skilled,none,yes,0
7408.0,24.0,own,1,high qualif/self emp/mgmt,none,yes,0
11590.0,24.0,rent,2,unskilled resident,none,yes,0
4110.0,23.0,rent,2,skilled,none,yes,0
3384.0,44.0,rent,1,high qualif/self emp/mgmt,yes,yes,0
2101.0,23.0,own,1,unskilled resident,none,yes,1
1275.0,24.0,rent,1,skilled,none,yes,0
4169.0,28.0,own,1,skilled,none,yes,1
1521.0,31.0,own,1,unskilled resident,none,yes,1
5743.0,24.0,for free,2,skilled,yes,yes,1
3599.0,26.0,rent,1,unskilled resident,none,yes,1
3213.0,25.0,rent,1,skilled,none,yes,1
4439.0,33.0,own,1,high qualif/self emp/mgmt,yes,yes,1
3949.0,37.0,own,1,unskilled resident,none,yes,1
1459.0,43.0,own,1,unskilled resident,none,yes,1
882.0,23.0,own,2,skilled,none,yes,1
3758.0,23.0,rent,1,unemp/unskilled non res,none,yes,1
1743.0,34.0,own,2,unskilled resident,none,yes,1
1136.0,32.0,for free,2,skilled,none,yes,0
1236.0,23.0,rent,1,skilled,yes,yes,1
959.0,29.0,own,1,skilled,none,no,0
3229.0,38.0,own,1,high qualif/self emp/mgmt,yes,yes,1
6199.0,28.0,rent,2,skilled,yes,yes,0
727.0,46.0,for free,1,skilled,yes,yes,1
1246.0,23.0,own,1,unskilled resident,none,yes,0
2331.0,49.0,own,1,skilled,yes,yes,1
4463.0,26.0,own,2,high qualif/self emp/mgmt,yes,yes,0
776.0,28.0,own,1,skilled,none,yes,1
2406.0,23.0,rent,1,skilled,none,yes,0
1239.0,61.0,for free,1,skilled,none,yes,1
3399.0,37.0,own,1,high qualif/self emp/mgmt,none,yes,1
2247.0,36.0,own,2,skilled,yes,yes,1
1766.0,21.0,rent,1,skilled,none,yes,1
2473.0,25.0,own,1,unemp/unskilled non res,none,yes,0
1542.0,36.0,own,1,skilled,yes,yes,1
3850.0,27.0,own,2,skilled,none,yes,1
3650.0,22.0,rent,1,skilled,none,yes,1
3446.0,42.0,own,1,skilled,none,yes,0
3001.0,40.0,rent,1,skilled,none,yes,1
3079.0,36.0,own,1,skilled,none,yes,1
6070.0,33.0,own,2,skilled,yes,yes,1
2146.0,23.0,rent,2,skilled,none,yes,1
13756.0,63.0,for free,1,high qualif/self emp/mgmt,yes,yes,1
14782.0,60.0,for free,2,high qualif/self emp/mgmt,yes,yes,0
7685.0,37.0,rent,1,skilled,none,yes,0
2320.0,34.0,own,2,skilled,none,yes,1
846.0,36.0,for free,1,skilled,none,yes,1
14318.0,57.0,for free,1,high qualif/self emp/mgmt,yes,yes,0
362.0,52.0,own,2,unskilled resident,none,yes,1
2212.0,39.0,own,1,skilled,yes,yes,1
12976.0,38.0,for free,1,high qualif/self emp/mgmt,yes,yes,0
1283.0,25.0,rent,1,skilled,none,yes,1
1330.0,26.0,own,1,skilled,none,yes,1
4272.0,26.0,own,2,unskilled resident,none,yes,1
2238.0,25.0,own,2,skilled,none,yes,1
1126.0,21.0,rent,1,skilled,yes,yes,1
7374.0,40.0,own,2,high qualif/self emp/mgmt,yes,yes,1
2326.0,27.0,own,1,skilled,none,yes,1
1449.0,27.0,own,2,skilled,none,yes,1
1820.0,30.0,own,1,high qualif/self emp/mgmt,yes,yes,1
983.0,19.0,rent,1,unskilled resident,none,yes,1
3249.0,39.0,for free,1,high qualif/self emp/mgmt,yes,yes,1
1957.0,31.0,own,1,skilled,none,yes,1
2406.0,31.0,own,1,high qualif/self emp/mgmt,none,yes,1
11760.0,32.0,rent,1,skilled,yes,yes,1
2578.0,55.0,for free,1,high qualif/self emp/mgmt,none,yes,1
2348.0,46.0,own,2,skilled,yes,yes,1
1223.0,46.0,rent,2,skilled,none,yes,0
1516.0,43.0,own,2,unskilled resident,none,yes,1
1473.0,39.0,own,1,skilled,yes,yes,1
1887.0,28.0,own,2,skilled,none,yes,1
8648.0,27.0,own,2,skilled,yes,yes,0
802.0,27.0,own,2,unskilled resident,none,yes,1
2899.0,43.0,own,1,skilled,none,yes,1
2039.0,22.0,own,1,skilled,yes,yes,0
2197.0,43.0,own,2,skilled,yes,yes,1
1053.0,27.0,own,1,skilled,none,no,1
3235.0,26.0,own,1,high qualif/self emp/mgmt,yes,yes,1
939.0,28.0,own,3,skilled,yes,yes,0
1967.0,20.0,own,1,skilled,yes,yes,1
7253.0,35.0,own,2,high qualif/self emp/mgmt,yes,yes,1
2292.0,42.0,own,2,high qualif/self emp/mgmt,yes,yes,0
1597.0,40.0,rent,1,unskilled resident,none,no,1
1381.0,35.0,own,1,skilled,none,yes,0
5842.0,35.0,own,2,skilled,yes,yes,1
2579.0,33.0,own,1,unskilled resident,none,yes,0
8471.0,23.0,rent,2,skilled,yes,yes,1
2782.0,31.0,own,1,high qualif/self emp/mgmt,none,yes,1
1042.0,33.0,own,1,skilled,none,yes,0
3186.0,20.0,rent,1,skilled,none,yes,1
2028.0,30.0,own,1,skilled,none,yes,1
958.0,47.0,own,2,unskilled resident,none,yes,1
1591.0,34.0,own,2,high qualif/self emp/mgmt,none,yes,1
2762.0,25.0,own,1,skilled,yes,yes,0
2779.0,21.0,rent,1,skilled,yes,yes,1
2743.0,29.0,own,2,skilled,none,yes,1
1149.0,46.0,own,2,skilled,none,yes,1
1313.0,20.0,own,1,skilled,none,yes,1
1190.0,55.0,for free,3,unemp/unskilled non res,none,yes,0
3448.0,74.0,own,1,unskilled resident,none,yes,1
11328.0,29.0,own,2,high qualif/self emp/mgmt,yes,yes,0
1872.0,36.0,for free,3,high qualif/self emp/mgmt,yes,yes,1
2058.0,33.0,own,2,skilled,yes,yes,1
2136.0,25.0,own,1,skilled,none,yes,1
1484.0,25.0,own,1,skilled,yes,yes,0
660.0,23.0,rent,1,unskilled resident,none,yes,1
1287.0,37.0,own,2,skilled,yes,yes,1
3394.0,65.0,own,2,unemp/unskilled non res,none,yes,1
609.0,26.0,own,1,unemp/unskilled non res,none,yes,0
1884.0,39.0,own,1,high qualif/self emp/mgmt,yes,yes,1
1620.0,30.0,own,1,skilled,none,yes,1
2629.0,29.0,own,2,skilled,yes,yes,1
719.0,41.0,own,1,unskilled resident,none,yes,0
5096.0,30.0,own,1,high qualif/self emp/mgmt,yes,yes,0
1244.0,41.0,rent,2,unskilled resident,none,yes,1
1842.0,34.0,own,1,skilled,yes,yes,0
2576.0,35.0,own,1,skilled,none,yes,1
1424.0,55.0,own,1,high qualif/self emp/mgmt,yes,yes,1
1512.0,61.0,own,2,skilled,none,yes,0
11054.0,30.0,own,1,high qualif/self emp/mgmt,yes,yes,1
518.0,29.0,own,1,skilled,none,yes,1
2759.0,34.0,own,2,skilled,none,yes,1
2670.0,35.0,own,1,high qualif/self emp/mgmt,yes,yes,1
4817.0,31.0,own,1,skilled,yes,yes,0
2679.0,29.0,own,1,high qualif/self emp/mgmt,yes,yes,1
3905.0,36.0,rent,2,skilled,none,yes,1
3386.0,35.0,for free,1,skilled,yes,yes,0
343.0,27.0,own,1,skilled,none,yes,1
4594.0,32.0,own,1,skilled,yes,yes,1
3620.0,37.0,own,1,skilled,none,yes,1
1721.0,36.0,own,1,skilled,none,yes,1
3017.0,34.0,rent,1,high qualif/self emp/mgmt,none,yes,1
754.0,38.0,own,2,skilled,none,yes,1
1950.0,34.0,own,2,skilled,yes,yes,1
2924.0,63.0,own,1,skilled,yes,yes,1
1659.0,29.0,rent,1,unskilled resident,yes,yes,0
7238.0,32.0,own,2,skilled,none,yes,1
2764.0,26.0,own,2,skilled,yes,yes,1
4679.0,35.0,own,2,unskilled resident,yes,yes,1
3092.0,22.0,rent,1,skilled,yes,yes,0
448.0,23.0,own,1,skilled,none,yes,0
654.0,28.0,own,1,unskilled resident,none,yes,0
1238.0,36.0,own,1,high qualif/self emp/mgmt,yes,yes,1
1245.0,33.0,own,1,skilled,none,yes,0
3114.0,26.0,rent,1,skilled,none,yes,0
2569.0,24.0,own,1,skilled,none,yes,1
5152.0,25.0,own,1,skilled,none,yes,1
1037.0,39.0,own,1,unskilled resident,none,yes,1
1478.0,44.0,own,2,skilled,yes,yes,1
3573.0,23.0,own,1,unskilled resident,none,yes,1
1201.0,26.0,own,1,skilled,none,yes,1
3622.0,57.0,rent,2,skilled,yes,yes,1
960.0,30.0,own,2,skilled,none,yes,1
1163.0,44.0,own,1,skilled,yes,yes,1
1209.0,47.0,own,1,high qualif/self emp/mgmt,yes,yes,0
3077.0,52.0,own,1,skilled,yes,yes,1
3757.0,62.0,for free,1,skilled,yes,yes,1
1418.0,35.0,rent,1,unskilled resident,none,no,1
3518.0,26.0,rent,1,skilled,none,yes,1
1934.0,26.0,own,2,skilled,none,yes,1
8318.0,42.0,for free,2,high qualif/self emp/mgmt,yes,yes,0
1237.0,27.0,own,2,skilled,none,yes,1
368.0,38.0,own,1,skilled,none,yes,1
2122.0,39.0,rent,2,unskilled resident,none,no,1
2996.0,20.0,own,1,skilled,none,yes,0
9034.0,29.0,rent,1,high qualif/self emp/mgmt,yes,yes,0
1585.0,40.0,own,2,skilled,none,yes,1
1301.0,32.0,own,1,unskilled resident,none,yes,1
1323.0,28.0,own,2,skilled,yes,yes,1
3123.0,27.0,own,1,skilled,none,yes,0
5493.0,42.0,for free,1,skilled,none,yes,1
1126.0,49.0,own,1,skilled,none,yes,1
1216.0,38.0,own,2,skilled,none,yes,0
1207.0,24.0,rent,1,skilled,none,yes,0
1309.0,27.0,own,1,unskilled resident,none,yes,0
2360.0,36.0,own,1,skilled,yes,yes,1
6850.0,34.0,own,1,high qualif/self emp/mgmt,yes,yes,0
1413.0,28.0,own,1,skilled,none,yes,1
8588.0,45.0,own,1,high qualif/self emp/mgmt,yes,yes,1
759.0,26.0,own,1,skilled,none,yes,0
4686.0,32.0,for free,1,high qualif/self emp/mgmt,yes,yes,1
2687.0,26.0,rent,1,skilled,yes,yes,1
585.0,20.0,rent,2,skilled,none,yes,1
2255.0,54.0,own,1,skilled,none,yes,1
609.0,37.0,own,2,skilled,none,no,1
1361.0,40.0,own,1,unskilled resident,none,no,1
